Number,Title,Source,URL,Date
68,Billboard names Kennesaw State's MEBUS a top music business program,No Source,https://news.kennesaw.edu/stories/2018/mebus_top_music_business.php,"July 09, 2018"
69,Howard Hughes Medical Institute awards $1 million grant to Kennesaw State,No Source,https://news.kennesaw.edu/stories/2018/hhmi-one-million-stem-grant.php,"June 20, 2018"
70,Football kicks off season ticket specials,No Source,https://news.kennesaw.edu/stories/2018/football_season_tickets.php,"June 19, 2018"
71,Pamela Whitten Named President of Kennesaw State University,No Source,https://news.kennesaw.edu/stories/2018/kennesaw_state_president.php,"June 12, 2018"
72,Cutting-edge field rolled out at Fifth Third Bank Stadium,No Source,https://news.kennesaw.edu/stories/2018/fifth_third_field_turf.php,"June 06, 2018"
73,Edward Stephens promoted to police chief,No Source,https://news.kennesaw.edu/stories/2018/chief_of_police.php,"June 05, 2018"
74,Kennesaw State steel bridge team finishes top 20 in national competition,No Source,https://news.kennesaw.edu/stories/2018/steel_bridge_competition.php,"May 31, 2018"
75,Kennesaw State Captures ASUN All-Sports Trophy,No Source,http://ksuowls.com/news/2018/5/30/baseball-kennesaw-state-captures-asun-all-sports-trophy.aspx,"May 30, 2018"
76,EPA awards grant to Kennesaw State project to reduce aircraft emissions,No Source,https://news.kennesaw.edu/stories/2018/ksu_air_quality_grant_epa.php,"May 24, 2018"
77,Cynthia Reed named dean of Bagwell College of Education,No Source,https://news.kennesaw.edu/stories/2018/bagwell_college_dean_appointed.php,"May 18, 2018"
78,Rankings Roundup: Kennesaw State tops national rankings  ,No Source,https://news.kennesaw.edu/stories/2018/rankings_roundup_may_2018.php,"May 17, 2018"
79,Jon Preston appointed dean of College of Computing and Software Engineering,No Source,https://news.kennesaw.edu/stories/2018/ccse_dean_appointed.php,"May 16, 2018"
80,KSU teams win conference championships,No Source,https://news.kennesaw.edu/stories/2018/spring_conference_champions.php,"May 14, 2018"
81,Kennesaw State earns distinction for excellence in financial reporting,No Source,https://news.kennesaw.edu/stories/2018/financial_reporting.php,"May 10, 2018"
82,Kennesaw State invites prospective transfer students to campus May 24,No Source,https://news.kennesaw.edu/stories/2018/transfer_student_day.php,"May 03, 2018"
83,"Kennesaw State University to graduate more than 3,100 on May 8, 9 and 10",No Source,https://news.kennesaw.edu/stories/2018/spring_2018_commencement_schedule.php,"May 02, 2018"
84,Presidential Diversity Awards presented at Kennesaw State,No Source,https://news.kennesaw.edu/stories/2018/presidential_diversity_awards_2018.php,"April 26, 2018"
85,Kennesaw State music professor wins national award,No Source,https://news.kennesaw.edu/stories/2018/music_education_award.php,"April 25, 2018"
86,Top economist Roger Tutterow named Henssler Financial Endowed Chair,No Source,https://news.kennesaw.edu/stories/2018/henssler_financial_endowed_chair.php,"April 19, 2018"
87,Kennesaw State student's research to debut on Capitol Hill,No Source,https://news.kennesaw.edu/stories/2018/posters_on_the_hill.php,"April 17, 2018"
88,Kennesaw State presents Fifth Annual International Awards,No Source,https://news.kennesaw.edu/stories/2018/international_awards_2018.php,"April 16, 2018"
89,Kennesaw State CARE Services opens walk-in food pantry,No Source,https://news.kennesaw.edu/stories/2018/care_food_pantry.php,"April 12, 2018"
90,Kennesaw State undergrads showcasing research at national conference,No Source,https://news.kennesaw.edu/stories/2018/ncur_students_2018.php,"April 03, 2018"
91,KSU Spring Arts Festival,No Source,https://news.kennesaw.edu/stories/2018/spring_arts_festival_2018.php,"April 02, 2018"
92,Businessmen pledge $1 million toward engineering scholarship endowment,No Source,https://news.kennesaw.edu/stories/2018/radow_endowment.php,"March 30, 2018"
